L,mu,time
100,0.1,23
100,0.2,50
100,0.3,34
100,0.4,25
100,0.5,27
100,0.6,25
100,0.7,16
100,0.8,17
100,0.9,15
100,1,17
200,0.1,267
200,0.2,78
200,0.3,100
200,0.4,50
200,0.5,49
200,0.6,41
200,0.7,32
200,0.8,32
200,0.9,25
200,1,26
300,0.1,680
300,0.2,139
300,0.3,97
300,0.4,70
300,0.5,74
300,0.6,67
300,0.7,43
300,0.8,46
300,0.9,42
300,1,37
400,0.1,223
400,0.2,200
400,0.3,87
400,0.4,100
400,0.5,80
400,0.6,63
400,0.7,67
400,0.8,46
400,0.9,51
400,1,47
500,0.1,512
500,0.2,89
500,0.3,157
500,0.4,98
500,0.5,140
500,0.6,91
500,0.7,70
500,0.8,64
500,0.9,62
500,1,66
600,0.1,501
600,0.2,50
600,0.3,182
600,0.4,131
600,0.5,185
600,0.6,126
600,0.7,113
600,0.8,99
600,0.9,78
600,1,68
700,0.1,789
700,0.2,573
700,0.3,115
700,0.4,178
700,0.5,118
700,0.6,173
700,0.7,131
700,0.8,81
700,0.9,83
700,1,76
800,0.1,412
800,0.2,473
800,0.3,245
800,0.4,176
800,0.5,214
800,0.6,110
800,0.7,100
800,0.8,99
800,0.9,83
800,1,88
900,0.1,534
900,0.2,640
900,0.3,252
900,0.4,289
900,0.5,247
900,0.6,145
900,0.7,140
900,0.8,132
900,0.9,114
900,1,97
1000,0.1,123
1000,0.2,295
1000,0.3,134
1000,0.4,195
1000,0.5,196
1000,0.6,250
1000,0.7,154
1000,0.8,142
1000,0.9,141
1000,1,119
100,0.01,112
100,0.02,334
100,0.03,334
100,0.04,112
100,0.05,23
100,0.06,19
100,0.07,334
100,0.08,85
100,0.09,124
100,0.1,23
200,0.01,112
200,0.02,346
200,0.03,77
200,0.04,334
200,0.05,23
200,0.06,426
200,0.07,80
200,0.08,320
200,0.09,235
200,0.1,345
300,0.01,112
300,0.02,167
300,0.03,1598
300,0.04,29
300,0.05,356
300,0.06,834
300,0.07,64
300,0.08,70
300,0.09,433
300,0.1,156
400,0.01,224
400,0.02,291
400,0.03,38
400,0.04,84
400,0.05,200
400,0.06,334
400,0.07,16
400,0.08,28
400,0.09,50
400,0.1,189
500,0.01,119
500,0.02,56
500,0.03,297
500,0.04,28
500,0.05,400
500,0.06,686
500,0.07,223
500,0.08,334
500,0.09,99
500,0.1,323
600,0.01,334
600,0.02,56
600,0.03,149
600,0.04,445
600,0.05,67
600,0.06,149
600,0.07,1127
600,0.08,14
600,0.09,803
600,0.1,319
700,0.01,1228
700,0.02,1908
700,0.03,1519
700,0.04,28
700,0.05,67
700,0.06,38
700,0.07,48
700,0.08,306
700,0.09,50
700,0.1,812
800,0.01,445
800,0.02,278
800,0.03,260
800,0.04,223
800,0.05,245
800,0.06,186
800,0.07,143
800,0.08,1501
800,0.09,681
800,0.1,345
900,0.01,456
900,0.02,112
900,0.03,4556
900,0.04,1862
900,0.05,178
900,0.06,352
900,0.07,96
900,0.08,667
900,0.09,1040
900,0.1,858
1000,0.01,223
1000,0.02,56
1000,0.03,3038
1000,0.04,28
1000,0.05,89
1000,0.06,167
1000,0.07,512
1000,0.08,1917
1000,0.09,797
1000,0.1,745
